question,expected_pages,retrieved_pages,retrieved_chunk_ids,retrieved_content_types,retrieved_distances,hit_at_3,reciprocal_rank
How many paid time off days are allowed per year?,[2],"[2, 2, 2]","[6, 7, 5]","['text', 'table', 'text']","[0.9854, 0.9975, 1.0319]",True,1.0
How many sick leave days are allowed per year?,[2],"[2, 2, 2]","[6, 5, 7]","['text', 'text', 'table']","[0.7548, 0.8016, 0.8899]",True,1.0
How many remote work days are allowed per week?,[3],"[3, 3, 3]","[9, 10, 8]","['text', 'table', 'text']","[0.6708, 0.7904, 0.8693]",True,1.0
What is the local meal reimbursement limit?,[4],"[4, 4, 1]","[11, 13, 3]","['text', 'table', 'text']","[0.9179, 1.1379, 1.2779]",True,1.0
Who can access restricted documents?,[5],"[5, 5, 5]","[16, 14, 15]","['table', 'text', 'text']","[0.7664, 0.817, 1.1387]",True,1.0
How long are employee records retained?,[6],"[6, 6, 2]","[17, 19, 6]","['text', 'table', 'text']","[0.5738, 0.6946, 1.227]",True,1.0
How quickly should a lost laptop or token be reported?,[7],"[7, 7, 5]","[22, 20, 15]","['table', 'text', 'text']","[0.8288, 1.0604, 1.3217]",True,1.0
What should the system do when a policy is missing?,[7],"[7, 7, 1]","[21, 20, 1]","['text', 'text', 'text']","[0.8549, 1.0739, 1.2081]",True,1.0
Why does ingestion quality matter for policy PDFs?,[8],"[8, 8, 9]","[25, 23, 26]","['table', 'text', 'text']","[1.0053, 1.0897, 1.2791]",True,1.0
What evidence should a leave question cite?,[10],"[10, 1, 10]","[31, 2, 30]","['table', 'text', 'text']","[1.0184, 1.0487, 1.0917]",True,1.0
